Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2024,"Max Lazar","PHI",0,0,0,11,0,13.2,5.926830371173835,1.3170734158164077,1.3170734158164077,0.2682926829268293,0.6557377,0.428571428,0.166666666,93.5752734375,4.609756955357427,,4.1908702128136675,3.616048218629361,0.048405721783638,"Max Lazar",23426,676661
2024,"Ricky Vanasco","- - -",1,0,0,4,0,4,2.25,0,0,0.21428571428571427,0,0.642857142,0,94.99277750651042,6.75,,2.666479778289795,3.4224839814007284,0.04817229136824608,"Ricky Vanasco",23391,676568
2024,"Robbie Ray","SFG",3,2,0,7,7,30.2,12.619566263909237,4.402174278107873,1.7608697112431495,0.23728813559322035,0.76687117,0.28125,0.176470588,94.33300125838926,4.695652563315065,,4.959958187889299,4.092837001139525,0.04798763245344162,"Robbie Ray",11486,592662
2024,"Nick Ramirez","LAD",0,0,0,8,0,13.1,3.3750000804662723,4.725000112652781,0,0.35294117647058826,0.56,0.509803921,0,90.38600158691406,6.07500014483929,,3.9914797979593284,5.579088662343834,0.04784811660647392,"Nick Ramirez",12575,598286
2022,"Anderson Severino","CHW",0,0,0,6,0,7.1,11.045456460685116,4.909091760304496,0,0.3684210526315789,0.61538462,0.631578947,0,96.62121865915698,6.1363647003806205,,3.112431001663208,4.12177395210469,0.04711303114891052,"Anderson Severino",20582,644429
2022,"Easton McGee","TBR",0,0,0,1,0,3,3,0,0,0.3076923076923077,0.75,0.23076923,0,91.50509643554688,0,,2.445764334996542,5.406503142913183,0.04707944765686989,"Easton McGee",22176,668834
2022,"Jay Jackson","ATL",0,0,0,2,0,1.1,6.750001609325793,0,0,0.25,1,0,0,92.40203857421875,0,,1.6124306440352543,3.832985279394216,0.04684007912874222,"Jay Jackson",7432,543351
2022,"Jaime Barria","LAA",3,3,0,35,1,79.1,6.126051254776316,2.1554624785324075,1.247899329676657,0.22707423580786026,0.8045977,0.408510638,0.113402061,92.06043163698111,2.6092440529602827,,4.38554041880808,4.393050909545049,0.046356476843357086,"Jaime Barria",18356,642545
2022,"Cody Sedlock","BAL",0,0,0,1,0,3,9,3,0,0.5,0.28571429,0.416666666,0,90.96307963709677,15,,2.1124310016632086,3.5928004056215292,0.045597732067108154,"Cody Sedlock",19357,642060
2022,"Mason Thompson","WSN",1,1,1,24,0,24.2,5.4729735372361406,3.283784122341684,0.7297298049648187,0.22972972972972974,0.80152672,0.533333333,0.083333333,95.61294119698661,2.9189192198592746,,4.166485164390169,4.552790570231728,0.04525686800479889,"Mason Thompson",21850,666168
2023,"Jared Shuster","ATL",4,3,0,11,11,52.2,5.126582526029877,4.443038189225894,1.1962025894069714,0.27710843373493976,0.65527066,0.357142857,0.088607594,91.52437827225131,5.810126862833862,,5.381622740665019,6.1338023066451015,0.0451405830681324,"Jared Shuster",27472,694363
2024,"Shaun Anderson","- - -",0,2,0,6,2,16.1,5.510204510607389,0.5510204510607389,1.653061353182217,0.44285714285714284,0.53459119,0.347222222,0.111111111,91.35446909311655,8.265306765911085,,4.697092142347403,4.80877951642954,0.04500182345509529,"Shaun Anderson",19453,641312
2024,"Xzavion Curry","- - -",2,2,0,16,5,42.2,5.906250484054948,1.476562621013737,1.6875001383014137,0.23255813953488372,0.65088757,0.233576642,0.105263157,92.11919856976859,4.6406253803288875,,4.78366741082865,5.039432405372924,0.044133059680461884,"Xzavion Curry",25595,675540
2023,"Hogan Harris","OAK",3,6,0,14,6,63,8.000000484406032,4.000000242203016,1.4285715150725056,0.3048128342245989,0.55952381,0.396907216,0.116279069,92.68185334158416,7.142857575362528,,5.016945228086494,5.210409538843923,0.04360131919384003,"Hogan Harris",21520,663687
2023,"Greg Weissert","NYY",0,0,0,17,0,20,9.900001888275506,3.6000006866456387,1.3500002574921146,0.33962264150943394,0.81395349,0.509090909,0.166666666,94.39419109901685,4.050000772476344,,4.35504056930546,3.893057059744206,0.04337185248732567,"Greg Weissert",20375,669711
2023,"Yoendrys Gómez","NYY",0,0,0,1,0,2,18,0,0,0.3333333333333333,1,0.333333333,0,94.6536376953125,0,,0.7550403594970705,1.58171623647213,0.04277625307440758,"Yoendrys Gomez",22872,672782
2023,"Carson Fulmer","LAA",1,1,0,3,1,10,5.4,3.6,0.9,0.18518518518518517,0.83333333,0.571428571,0.111111111,92.783203125,2.7,,4.855040359497071,5.043056938052178,0.042486775666475296,"Carson Fulmer",18311,608334
2022,"Tyler Cyr","- - -",1,0,0,12,0,13.1,10.800001826584648,3.3750005708077024,1.350000228323081,0.2903225806451613,0.91549296,0.484848484,0.25,94.47518690577093,2.700000456646162,,4.0124311538785955,2.950652616676917,0.042131178081035614,"Tyler Cyr",18421,664202
2023,"Keegan Thompson","CHC",2,2,1,19,0,28.2,8.162791421827398,5.965116808258483,0.6279070324482614,0.23376623376623376,0.67204301,0.41025641,0.06060606,94.02946180555556,4.7093027433619605,,4.441086976343787,5.437387339625534,0.04208255931735039,"Keegan Thompson",19795,624522
2024,"Jordan Lyles","KCR",0,0,0,5,0,5,5.4,3.6,0,0.14285714285714285,1,0.428571428,0,90.81219803659539,0,,3.166479778289795,5.585693228244782,0.04134667292237282,"Jordan Lyles",7593,543475
2023,"Jonathan Hernández","TEX",1,2,0,33,0,31.2,9.663160416875847,4.263159007445227,1.1368424019853938,0.34444444444444444,0.70247934,0.510869565,0.121212121,,5.400001409430621,,4.549777539535992,4.63063886212611,0.040214359760284424,"Jonathan Hernandez",17464,642546
2024,"Jackson Jobe","DET",0,0,0,2,0,4,4.5,2.25,0,0.07692307692307693,1,0.416666666,0,97.07987015335648,0,,2.916479778289795,4.806490286067128,0.03999205678701401,"Jackson Jobe",30203,695549
2023,"Nick Wittgren","KCR",1,0,0,27,0,29,5.5862079987771915,3.4137937770305062,0.6206897776419102,0.2978723404255319,0.65533981,0.447916666,0.057142857,92.13053197254335,4.965518221135282,,4.358488853082688,5.457361876394966,0.039878349751234055,"Nick Wittgren",15594,621295
2024,"Josh Walker","NYM",0,0,0,10,0,12.1,8.027028475302602,4.378379168346874,0.7297298613911456,0.32432432432432434,0.68181818,0.47368421,0.071428571,94.42600866866438,5.108109029738019,,3.896209639680941,4.558489571640776,0.0394018217921257,"Josh Walker",23617,677020
2022,"Ryan Hendrix","CIN",0,0,0,9,0,8.1,9.720001483154523,6.480000988769683,0,0.42857142857142855,0.70588235,0.523809523,0,95.57908720128677,5.400000823974735,,3.832431111526506,5.075941600596138,0.039329931139945984,"Ryan Hendrix",19535,641682
2022,"Kody Clemens","DET",0,0,0,7,0,7,1.2857142857142858,1.2857142857142858,0,0.3870967741935484,0.76923077,0.322580645,0,54.11048782703488,3.857142857142857,,3.255288144520351,5.58158292216914,0.03925709053874016,"Kody Clemens",20572,665019
2024,"Kyle Tyler","MIA",0,2,0,8,7,31.2,7.105263728514318,5.115789884530309,1.136842196562291,0.35106382978723405,0.73412698,0.5,0.142857142,,5.400000433670882,,5.029637822655772,4.724466283649064,0.03889436647295952,"Kyle Tyler",22092,667725
2022,"Zack Weiss","LAA",0,1,0,12,0,13.1,12.150002027750354,4.725000788569582,1.350000225305595,0.17857142857142858,0.73770492,0.344827586,0.142857142,94.51603190104167,3.375000563263987,,4.162431176900893,3.766818985032222,0.03864605352282524,"Zack Weiss",15444,592848
2024,"David Buchanan","CIN",0,0,0,1,0,3.1,2.70000025749209,5.40000051498418,0,0.18181818181818182,0.75,0.272727272,0,,2.70000025749209,,4.366479892730725,7.541697848609026,0.03862912580370903,"David Buchanan",11176,571527
2023,"Tyler Cyr","LAD",0,0,0,2,0,1.2,10.800004119874618,0,0,0.25,1,0.75,0,94.06588924632354,0,,0.8550394439693774,1.8470508747617782,0.03855573385953903,"Tyler Cyr",18421,664202
2024,"Scott Barlow","CLE",3,3,2,63,0,55,11.12727581434099,5.0727286800672164,0.981818454206558,0.2878787878787879,0.73654391,0.471014492,0.139534883,91.61439165609137,4.2545466348950844,,4.021025469914021,3.7849592492859414,0.03842223808169365,"Scott Barlow",14993,605130
